ort;kanton;name;baujahr;konfession;bautypus;architekt;infolink;id
Bellinzona;TI;Erholungsheim Paganini Ré, Kapelle;1972;Römisch-katholisch;Kapelle;Mazzola, Adriano;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1334_ti_bellinzona_erholungsheim_paganini_r_kapelle/index_ger.html;1334
Bern;BE;Reformiertes kirchliches Zentrum Bürenpark;1969 - 1972;Evangelisch-reformiert;Gemeindezentrum;Küenzi, Werner;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1336_be_bern_reformiertes_kirchliches_zentrum_buerenpark/index_ger.html;1336
Bern;BE;Oranienburg (Ruhestandsheim der Schwestern des Diakonissenhauses);1968 - 1970;Römisch-katholisch;Kapelle;Steiner, Fred;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1337_be_bern_oranienburg_ruhestandsheim_der_schwestern_des_diakonissenhauses/index_ger.html;1337
Beromünster;LU;Studienheim Don Bosco, Kapelle;1962;Römisch-katholisch;Kapelle;Pilgrim, Gustav;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1338_lu_beromuenster_studienheim_don_bosco_kapelle/index_ger.html;1338
Bevaix;NE;Chapelle Notre Dame de la Route;1972 - 1973;Römisch-katholisch;Kapelle;Gassmann, René;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1341_ne_bevaix_chapelle_notre_dame_de_la_route/index_ger.html;1341
Blonay;VD;Chapelle Sainte-Croix;1962;Römisch-katholisch;Kapelle;"Grandi, Italo de; Grandi, Roberto-Giovanni de";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1343_vd_blonay_chapelle_sainte_croix/index_ger.html;1343
Bottmingen;BL;Bruderholzspital, Kapelle;1972 - 1973;Spital;Kapelle;"Suter, Rudolf; Suter, Peter";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1344_bl_bottmingen_bruderholzspital_kapelle/index_ger.html;1344
Böttstein;AG;Waldfriedhof Eien;1974 - 1975;Friedhof;Friedhof;"Zulauf, Albert; Flück, Ueli; Vock, Robert";;1345
Bremgarten;AG;St. Josefsheim, Andachtsraum;1975;Römisch-katholisch;Kapelle;Pilgrim, Gustav;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1347_ag_bremgarten_st_josefsheim_andachtsraum/index_ger.html;1347
Bremgarten;BE;St. Johannes;1970 - 1972;Römisch-katholisch;Gemeindezentrum;"Egger, Alois; Peterhans, Werner";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1348_be_bremgarten_st_johannes/index_ger.html;1348
Brig-Glis;VS;Kreisspital, Kapelle;1960 - 1961;Römisch-katholisch;Kapelle;Feliser, Walter;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1349_vs_brig_glis_kreisspital_kapelle/index_ger.html;1349
Lauffohr (Brugg);AG;Centro Italiano, Hauskapelle;1971 - 1973;Römisch-katholisch;Kapelle;Keller, Hannes;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1352_ag_lauffohr_brugg_centro_italiano_hauskapelle/index_ger.html;1352
Buochs;NW;Friedhof;1969 - 1970;Friedhof;Friedhof;Schärli, Otto;;1353
Büren NW (Oberdorf NW);NW;Bruder Klaus;1964 - 1968;Römisch-katholisch;Kirche;Niederberger, Hugo;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1354_nw_bueren_nw_oberdorf_nw_bruder_klaus/index_ger.html;1354
Chermignon (Crans-Montana);VS;St-André;1968 - 1971;Römisch-katholisch;Kapelle;"Farion, Pierre; Mittaz, Marius";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1355_vs_chermignon_crans_montana_st_andr/index_ger.html;1355
Delémont;JU;Bildungszentrum St. François;1964;Römisch-katholisch;Bildungshaus;Casagrande, Sylvio;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1358_ju_delmont_bildungszentrum_st_franois/index_ger.html;1358
Dierikon;LU;Kapelle;1971;Römisch-katholisch;Kapelle;Bründler, Josef;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1359_lu_dierikon_kapelle/index_ger.html;1359
Dietlikon;ZH;St. Michael;1968 - 1970;Römisch-katholisch;Kirche;Marti, Josef;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1360_zh_dietlikon_st_michael/index_ger.html;1360
Dietlikon;ZH;Friedhofgebäude;1964;Friedhof;Friedhof;"Naef, Joachim; Studer, Ernst; Studer, Gottlieb";;1361
Dübendorf;ZH;Reformierte Kirche;1966 - 1971;Evangelisch-reformiert;Kirche;Meyenburg, Hans Martin von;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1300/1362_zh_duebendorf_reformierte_kirche/index_ger.html;1362
