ort;kanton;name;baujahr;konfession;bautypus;eigentum;baumassnahmen;nutzungsform;nutzungsart;infolink;ID
Brig-Glis;VS;Neuapostolische Kirche;1991 - 1992;Neuapostolisch;Kirche;;;;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/128_vs_brig_glis_neuapostolische_kirche/index_ger.html;128
Ebikon;LU;St. Klemens;1588 - 1592 (gegründet 1245);Römisch-katholisch;Kapelle;Unverändert;;;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/129_lu_ebikon_st_klemens/index_ger.html;129
Lenzburg;AG;Methodistische Kirche;;Evangelisch-methodistisch;Kapelle;Verkauf;;Fremdnutzung;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/132_ag_lenzburg_methodistische_kirche/index_ger.html;132
Flawil;SG;Neuapostolische Kirche;;Neuapostolisch;Kirche;Verkauf;;Fremdnutzung;Kirchlich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/133_sg_flawil_neuapostolische_kirche/index_ger.html;133
Schöftland;AG;Elim Kapelle;;Evangelisch-methodistisch;Kapelle;;Abriss | Neubau;Fremdnutzung;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/134_ag_schoeftland_elim_kapelle/index_ger.html;134
Unterkulm;AG;Chrischonakapelle;1904;Chrischona;Kapelle;Verkauf;Abriss | Neubau;Fremdnutzung;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/135_ag_unterkulm_chrischona_kapelle/index_ger.html;135
Rupperswil;AG;Methodistische Kirche;;Evangelisch-methodistisch;Kapelle;Verkauf;;Fremdnutzung;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/136_ag_rupperswil_methodistische_kirche/index_ger.html;136
Sissach;BL;Methodistische Kirche;;Evangelisch-methodistisch;Kapelle;;Abriss;;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/137_bl_sissach_methodistische_kirche/index_ger.html;137
Urtenen;BE;Neuapostolische Kirche;1974;Neuapostolisch;Kirche;Verkauf;Abriss | Neubau;Fremdnutzung;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/138_be_urtenen_neuapostolische_kirche/index_ger.html;138
Hohentannen;TG;Kapelle Oetlishausen;12. - 13. Jh.;Evangelisch-reformiert;Kapelle;;;;Kirchlich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/139_tg_oetlishausen_kapelle/index_ger.html;139
Rämismühle;ZH;Chrischonakapelle;1884;Chrischona;Kapelle;;;Fremdnutzung;Sozial;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/140_zh_raemismuehle_chrischonakapelle/index_ger.html;140
Schafisheim;AG;Methodistische Kirche;;Evangelisch-methodistisch;Kapelle;Verkauf;;Fremdnutzung;;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/141_ag_schafisheim_methodistische_kirche/index_ger.html;141
Ettiswil;LU;St. Gertrud;;Römisch-katholisch;Kloster;;;;Sozial;;144
